playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP,WHIP,K_per_9,BB_per_9,K_BB_ratio,ERA_calc,FIP,OBA,QS_pct,H_per_9,HR_per_9,SO_per_BB,ERA_minus,FIP_minus,BF,K_pct
rogerty01,2024,1,SFN,NL,3,4,77,0,0,0,1,211,67,22,7,6,51,0.245,2.82,2,1,7,0,290,13,23,1,2,7,70.33333333333333,1.038,6.526,0.768,8.5,2.815,3.2,0.231,NA,8.573,0.896,8.5,66.7,81.5,57,89.5
romanjo03,2024,1,TOR,AL,1,2,15,0,0,0,8,41,16,10,4,4,13,0.286,6.59,1,0,1,0,62,14,10,1,0,0,13.666666666666666,1.463,8.561,2.634,3.25,6.585,5.88,0.258,NA,10.537,2.634,3.25,155.8,149.8,17,76.5
romerjo01,2024,1,SLN,NL,7,3,65,0,0,0,1,177,52,22,8,16,51,0.236,3.36,0,1,5,0,243,7,23,1,1,5,59,1.153,7.78,2.441,3.188,3.356,3.947,0.214,NA,7.932,1.22,3.188,79.4,100.6,67,76.1
rosenke01,2024,1,LAA,AL,0,1,7,1,0,0,0,72,28,16,5,8,17,0.292,6,1,2,0,0,104,3,17,0,0,3,24,1.5,6.375,3,2.125,6,5.392,0.269,NA,10.5,1.875,2.125,141.8,137.4,25,68
rossjo01,2024,1,MIL,NL,3,6,25,10,0,0,0,222,72,31,7,29,66,0.25,3.77,1,1,1,0,321,8,35,0,3,3,74,1.365,8.027,3.527,2.276,3.77,3.722,0.224,NA,8.757,0.851,2.276,89.1,94.8,95,69.5
rouppla01,2024,1,SFN,NL,1,2,23,4,0,0,0,151,43,20,2,26,47,0.226,3.58,0,3,1,2,217,3,21,0,0,3,50.333333333333336,1.371,8.404,4.649,1.808,3.576,3.299,0.198,NA,7.689,0.358,1.808,84.6,84.1,73,64.4
roycrch01,2024,1,SLN,NL,1,2,27,0,0,0,0,103,31,16,2,17,33,0.238,4.19,0,1,4,0,155,13,19,1,3,3,34.333333333333336,1.398,8.65,4.456,1.941,4.194,3.42,0.2,NA,8.126,0.524,1.941,99.1,87.1,50,66
ruizjo01,2024,1,PHI,NL,5,1,52,0,0,0,1,153,51,21,8,17,52,0.26,3.71,1,0,1,0,217,16,23,0,3,6,51,1.333,9.176,3,3.059,3.706,4.1,0.235,NA,9,1.412,3.059,87.7,104.5,69,75.4
ryanjo04,2024,1,MIN,AL,7,7,23,23,0,0,0,405,110,54,19,23,147,0.217,3.6,0,2,5,1,538,0,59,0,3,6,135,0.985,9.8,1.533,6.391,3.6,3.263,0.204,NA,7.333,1.267,6.391,85.1,83.1,170,86.5
ryanry01,2024,1,PIT,NL,1,0,15,0,0,0,0,62,21,13,2,9,17,0.266,5.66,0,0,3,0,93,5,14,0,2,3,20.666666666666668,1.452,7.403,3.919,1.889,5.661,4.019,0.226,NA,9.145,0.871,1.889,133.8,102.4,26,65.4
